"Plot Title: 21523214."
"#","Date Time, GMT+07:00","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534670)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534671)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534672)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534673)"
1,07/10/26 04 นาฬิกา 1 นาที,2553.7,2553.7,2553.7,2553.7
2,07/10/26 04 นาฬิกา 1 นาที,208.7,418.7,388.7,163.7
3,07/10/26 04 นาฬิกา 1 นาที,221.2,441.2,398.7,173.7
4,07/10/26 04 นาฬิกา 2 นาที,236.2,451.2,408.7,186.2
5,07/10/26 04 นาฬิกา 2 นาที,246.2,471.2,421.2,196.2
6,07/10/26 04 นาฬิกา 2 นาที,258.7,488.7,438.7,208.7
7,07/10/26 04 นาฬิกา 2 นาที,271.2,506.2,448.7,221.2
8,07/10/26 04 นาฬิกา 2 นาที,283.7,513.7,458.7,236.2
9,07/10/26 04 นาฬิกา 2 นาที,301.2,316.2,266.2,251.2
10,07/10/26 04 นาฬิกา 3 นาที,318.7,331.2,281.2,263.7
11,07/10/26 04 นาฬิกา 3 นาที,333.7,346.2,293.7,276.2
12,07/10/26 04 นาฬิกา 3 นาที,348.7,388.7,341.2,288.7
13,07/10/26 04 นาฬิกา 3 นาที,358.7,368.7,311.2,293.7
14,07/10/26 04 นาฬิกา 3 นาที,366.2,383.7,318.7,303.7
15,07/10/26 04 นาฬิกา 3 นาที,346.2,443.7,341.2,333.7
16,07/10/26 04 นาฬิกา 4 นาที,386.2,366.2,336.2,343.7
17,07/10/26 04 นาฬิกา 4 นาที,403.7,466.2,351.2,396.2
18,07/10/26 04 นาฬิกา 4 นาที,398.7,446.2,363.7,356.2
19,07/10/26 04 นาฬิกา 4 นาที,413.7,436.2,363.7,353.7
20,07/10/26 04 นาฬิกา 4 นาที,418.7,428.7,363.7,353.7
21,07/10/26 04 นาฬิกา 4 นาที,421.2,416.2,361.2,343.7
22,07/10/26 04 นาฬิกา 5 นาที,426.2,626.2,576.2,338.7
23,07/10/26 04 นาฬิกา 5 นาที,431.2,401.2,358.7,331.2
24,07/10/26 04 นาฬิกา 5 นาที,431.2,393.7,353.7,326.2
25,07/10/26 04 นาฬิกา 5 นาที,423.7,383.7,346.2,316.2
26,07/10/26 04 นาฬิกา 5 นาที,416.2,376.2,338.7,308.7
27,07/10/26 04 นาฬิกา 5 นาที,406.2,368.7,331.2,296.2
28,07/10/26 04 นาฬิกา 6 นาที,396.2,358.7,321.2,288.7
29,07/10/26 04 นาฬิกา 6 นาที,386.2,351.2,316.2,281.2
30,07/10/26 04 นาฬิกา 6 นาที,381.2,343.7,313.7,276.2
31,07/10/26 04 นาฬิกา 6 นาที,373.7,336.2,313.7,271.2
32,07/10/26 04 นาฬิกา 6 นาที,366.2,331.2,298.7,263.7
33,07/10/26 04 นาฬิกา 6 นาที,358.7,326.2,293.7,261.2
34,07/10/26 04 นาฬิกา 7 นาที,348.7,323.7,288.7,256.2
35,07/10/26 04 นาฬิกา 7 นาที,346.2,326.2,286.2,256.2
36,07/10/26 04 นาฬิกา 7 นาที,343.7,331.2,286.2,256.2
37,07/10/26 04 นาฬิกา 7 นาที,341.2,336.2,288.7,258.7
38,07/10/26 04 นาฬิกา 7 นาที,346.2,348.7,293.7,268.7
39,07/10/26 04 นาฬิกา 7 นาที,353.7,361.2,303.7,283.7
40,07/10/26 04 นาฬิกา 8 นาที,368.7,403.7,323.7,318.7
41,07/10/26 04 นาฬิกา 8 นาที,383.7,431.2,338.7,346.2
42,07/10/26 04 นาฬิกา 8 นาที,398.7,436.2,351.2,358.7
43,07/10/26 04 นาฬิกา 8 นาที,411.2,431.2,356.2,366.2
44,07/10/26 04 นาฬิกา 8 นาที,416.2,403.7,351.2,343.7
45,07/10/26 04 นาฬิกา 8 นาที,418.7,388.7,346.2,331.2
46,07/10/26 04 นาฬิกา 9 นาที,408.7,378.7,338.7,318.7
47,07/10/26 04 นาฬิกา 9 นาที,408.7,363.7,328.7,306.2
48,07/10/26 04 นาฬิกา 9 นาที,398.7,351.2,318.7,291.2
49,07/10/26 04 นาฬิกา 9 นาที,388.7,333.7,308.7,278.7
50,07/10/26 04 นาฬิกา 9 นาที,376.2,323.7,296.2,266.2
51,07/10/26 04 นาฬิกา 9 นาที,361.2,311.2,283.7,253.7
52,07/10/26 04 นาฬิกา 10 นาที,346.2,296.2,273.7,243.7
53,07/10/26 04 นาฬิกา 10 นาที,331.2,291.2,266.2,233.7
54,07/10/26 04 นาฬิกา 10 นาที,303.7,293.7,263.7,233.7
55,07/10/26 04 นาฬิกา 10 นาที,323.7,296.2,266.2,236.2
56,07/10/26 04 นาฬิกา 10 นาที,328.7,303.7,271.2,243.7
57,07/10/26 04 นาฬิกา 10 นาที,331.2,311.2,273.7,251.2
58,07/10/26 04 นาฬิกา 11 นาที,343.7,318.7,281.2,261.2
59,07/10/26 04 นาฬิกา 11 นาที,353.7,328.7,288.7,273.7
60,07/10/26 04 นาฬิกา 11 นาที,363.7,338.7,298.7,283.7
61,07/10/26 04 นาฬิกา 11 นาที,373.7,348.7,308.7,291.2
62,07/10/26 04 นาฬิกา 11 นาที,381.2,351.2,311.2,293.7
63,07/10/26 04 นาฬิกา 11 นาที,388.7,348.7,313.7,293.7
64,07/10/26 04 นาฬิกา 12 นาที,391.2,346.2,313.7,293.7
65,07/10/26 04 นาฬิกา 12 นาที,388.7,343.7,311.2,291.2
66,07/10/26 04 นาฬิกา 12 นาที,388.7,341.2,306.2,288.7
67,07/10/26 04 นาฬิกา 12 นาที,383.7,333.7,301.2,281.2
68,07/10/26 04 นาฬิกา 12 นาที,378.7,326.2,296.2,273.7
69,07/10/26 04 นาฬิกา 12 นาที,373.7,318.7,291.2,266.2
70,07/10/26 04 นาฬิกา 13 นาที,363.7,311.2,283.7,256.2
71,07/10/26 04 นาฬิกา 13 นาที,353.7,303.7,276.2,248.7
