datetime,"PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534670)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534671)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534672)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534673)"
2026-07-10 04:00:00,232.82542372881355,421.835593220339,392.1745762711864,233.4457627118644
2026-07-10 05:00:00,0.0,6.7283333333333335,6.52,2.728333333333333
2026-07-10 06:00:00,0.0,0.0,0.0,0.0
2026-07-10 07:00:00,0.0,0.0,0.0,0.0
2026-07-10 08:00:00,0.0,0.0,0.0,0.0
2026-07-10 09:00:00,0.0,0.0,0.0,0.0
2026-07-10 10:00:00,0.0,0.0,0.0,0.0
2026-07-10 11:00:00,0.0,0.0,0.0,0.0
2026-07-11 01:00:00,0.0,0.0,0.0,0.0
2026-07-11 02:00:00,0.0,0.0,0.0,0.0
2026-07-11 03:00:00,0.0,0.0,0.0,0.0
2026-07-11 04:00:00,0.0,0.0,0.0,0.0
2026-07-11 05:00:00,0.0,0.0,0.0,0.0
2026-07-11 06:00:00,0.0,0.0,0.0,0.0
2026-07-11 07:00:00,0.0,0.0,0.0,0.0
2026-07-11 08:00:00,0.0,0.0,0.0,0.0
2026-07-11 09:00:00,0.0,0.0,0.0,0.0
2026-07-11 10:00:00,0.0,0.0,0.0,0.0
2026-07-11 11:00:00,0.0,0.0,0.0,0.0
2026-07-11 12:00:00,0.0,0.0,0.0,0.0
2026-07-12 01:00:00,0.0,0.0,0.0,0.0
2026-07-12 02:00:00,0.0,0.0,0.0,0.0
2026-07-12 03:00:00,0.0,0.0,0.0,0.0
2026-07-12 04:00:00,0.0,0.0,0.0,0.0
2026-07-12 05:00:00,0.0,0.0,0.0,0.0
2026-07-12 06:00:00,0.0,0.0,0.0,0.0
2026-07-12 07:00:00,0.0,0.0,0.0,0.0
2026-07-12 08:00:00,0.0,0.0,0.0,0.0
2026-07-12 09:00:00,0.0,0.0,0.0,0.0
2026-07-12 10:00:00,0.0,0.0,0.0,0.0
2026-07-12 11:00:00,0.0,0.0,0.0,0.0
2026-07-12 12:00:00,0.0,0.0,0.0,0.0
2026-07-13 01:00:00,0.0,0.0,0.0,0.0
2026-07-13 02:00:00,0.0,0.0,0.0,0.0
2026-07-13 03:00:00,0.0,0.0,0.0,0.0
2026-07-13 04:00:00,0.0,0.0,0.0,0.0
2026-07-13 05:00:00,0.0,0.0,0.0,0.0
2026-07-13 06:00:00,0.0,0.0,0.0,0.0
2026-07-13 07:00:00,0.0,0.0,0.0,0.0
2026-07-13 08:00:00,0.0,0.0,0.0,0.0
2026-07-13 09:00:00,0.0,0.0,0.0,0.0
2026-07-13 10:00:00,0.0,0.0,0.0,0.0
2026-07-13 11:00:00,0.0,0.0,0.0,0.0
2026-07-13 12:00:00,0.0,0.0,0.0,0.0
2026-07-14 01:00:00,0.0,0.0,0.0,0.0
2026-07-14 02:00:00,0.0,0.0,0.0,0.0
2026-07-14 03:00:00,0.0,0.0,0.0,0.0
2026-07-14 04:00:00,0.0,0.0,0.0,0.0
2026-07-14 05:00:00,0.0,0.0,0.0,0.0
2026-07-14 06:00:00,0.0,0.0,0.0,0.0
2026-07-14 07:00:00,0.0,0.0,0.0,0.0
2026-07-14 08:00:00,0.0,0.0,0.0,0.0
2026-07-14 09:00:00,0.0,0.0,0.0,0.0
2026-07-14 10:00:00,0.0,0.0,0.0,0.0
2026-07-14 11:00:00,0.0,0.0,0.0,0.0
2026-07-14 12:00:00,0.0,0.0,0.0,0.0
2026-07-15 01:00:00,0.0,0.0,0.0,0.0
2026-07-15 02:00:00,0.0,0.0,0.0,0.0
2026-07-15 03:00:00,0.0,0.0,0.0,0.0
