record_date,week_no,variety,lighting,treatment,plant_id,canopy_width,canopy_length,canopy_height,leaf_count,hue_angle,fresh_weight,root_length,core_length,head_diameter,head_firmness,sample_weight_g,OD663,OD645,OD470,OD765,chl_a,chl_b,total_chl,carotenoids,total_phenolics
2026-08-04,1,Green Moon,Control,Control_GM,A2,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,Control,Control_GM,A5,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,Control,Control_GM,A7,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,Control,Control_GM,B3,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,Control,Control_GM,B5,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,Control,Control_GM,B6,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,Control,Control_GM,B8,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,Control,Control_GM,C4,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,Control,Control_GM,C6,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,Control,Control_GM,C9,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,LED,LED_GM,A2,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,LED,LED_GM,A5,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,LED,LED_GM,A7,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,LED,LED_GM,B3,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,LED,LED_GM,B5,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,LED,LED_GM,B6,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,LED,LED_GM,B8,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,LED,LED_GM,C4,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,LED,LED_GM,C6,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Green Moon,LED,LED_GM,C9,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,Control,Control_F,A2,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,Control,Control_F,A5,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,Control,Control_F,A7,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,Control,Control_F,B3,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,Control,Control_F,B5,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,Control,Control_F,B6,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,Control,Control_F,B8,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,Control,Control_F,C4,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,Control,Control_F,C6,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,Control,Control_F,C9,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 1,LED_F (1),A2,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 1,LED_F (1),A5,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 1,LED_F (1),A7,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 1,LED_F (1),B3,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 1,LED_F (1),B5,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 1,LED_F (1),B6,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 1,LED_F (1),B8,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 1,LED_F (1),C4,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 1,LED_F (1),C6,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 1,LED_F (1),C9,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 2,LED_F (2),A2,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 2,LED_F (2),A5,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 2,LED_F (2),A7,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 2,LED_F (2),B3,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 2,LED_F (2),B5,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 2,LED_F (2),B6,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 2,LED_F (2),B8,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 2,LED_F (2),C4,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 2,LED_F (2),C6,,,,,,,,,,,,,,,,,,,,
2026-08-04,1,Fame,LED Plot 2,LED_F (2),C9,,,,,,,,,,,,,,,,,,,,
