record_date,week_no,temp_c,ppfd_control_gm,ppfd_led_gm,ppfd_control_f,ppfd_led_f1,ppfd_led_f2,soil_ph,soil_ec,soil_om,soil_total_n,soil_avail_p,soil_avail_k,soil_texture
2026-08-04,1,,,,,,,,,,,,,Sandy Loam
2026-08-11,2,,,,,,,,,,,,,Sandy Loam
2026-08-18,3,,,,,,,,,,,,,Sandy Loam
2026-08-25,4,,,,,,,,,,,,,Sandy Loam
2026-09-01,5,,,,,,,,,,,,,Sandy Loam
2026-09-08,6,,,,,,,,,,,,,Sandy Loam
2026-09-15,7,,,,,,,,,,,,,Sandy Loam
2026-09-22,8,,,,,,,,,,,,,Sandy Loam
2026-09-29,9,,,,,,,,,,,,,Sandy Loam
2026-10-06,10,,,,,,,,,,,,,Sandy Loam
2026-10-13,11,,,,,,,,,,,,,Sandy Loam
2026-10-20,12,,,,,,,,,,,,,Sandy Loam
2026-10-27,13,,,,,,,,,,,,,Sandy Loam
2026-11-03,14,,,,,,,,,,,,,Sandy Loam
2026-11-10,15,,,,,,,,,,,,,Sandy Loam
2026-11-17,16,,,,,,,,,,,,,Sandy Loam
2026-11-24,17,,,,,,,,,,,,,Sandy Loam
2026-12-01,18,,,,,,,,,,,,,Sandy Loam
2026-12-08,19,,,,,,,,,,,,,Sandy Loam
2026-12-15,20,,,,,,,,,,,,,Sandy Loam
