record_date,treatment,plant_id,week_no,variety,lighting,canopy_width,canopy_length,canopy_height,leaf_count,hue_angle,fresh_weight,root_length,core_length,head_diameter,head_firmness,sample_weight_g,OD663,OD645,OD470,OD765,chl_a,chl_b,total_chl,carotenoids,total_phenolics
2026-08-11,Control_F,A2,2.0,Fame,Control,18.0,24.5,15.5,9,,,,,,,,,,,,,,,,
2026-08-11,Control_F,A5,2.0,Fame,Control,20.0,26.0,15.0,9,,,,,,,,,,,,,,,,
2026-08-11,Control_F,A7,2.0,Fame,Control,20.0,28.0,16.0,9,,,,,,,,,,,,,,,,
2026-08-11,Control_F,B3,2.0,Fame,Control,21.0,29.0,15.0,9,,,,,,,,,,,,,,,,
2026-08-11,Control_F,B5,2.0,Fame,Control,18.5,26.5,14.0,9,,,,,,,,,,,,,,,,
2026-08-11,Control_F,B6,2.0,Fame,Control,19.5,22.5,16.0,8,,,,,,,,,,,,,,,,
2026-08-11,Control_F,B8,2.0,Fame,Control,26.0,31.0,16.0,10,,,,,,,,,,,,,,,,
2026-08-11,Control_F,C4,2.0,Fame,Control,23.0,28.0,15.5,9,,,,,,,,,,,,,,,,
2026-08-11,Control_F,C6,2.0,Fame,Control,18.0,23.5,13.5,8,,,,,,,,,,,,,,,,
2026-08-11,Control_F,C9,2.0,Fame,Control,20.0,24.0,14.0,10,,,,,,,,,,,,,,,,
2026-08-11,Control_GM,A2,2.0,Green Moon,Control,15.0,15.5,13.0,10,,,,,,,,,,,,,,,,
2026-08-11,Control_GM,A5,2.0,Green Moon,Control,10.0,18.0,16.5,9,,,,,,,,,,,,,,,,
2026-08-11,Control_GM,A7,2.0,Green Moon,Control,13.0,17.5,13.0,8,,,,,,,,,,,,,,,,
2026-08-11,Control_GM,B3,2.0,Green Moon,Control,13.5,17.0,12.5,9,,,,,,,,,,,,,,,,
2026-08-11,Control_GM,B5,2.0,Green Moon,Control,16.0,20.0,14.0,10,,,,,,,,,,,,,,,,
2026-08-11,Control_GM,B6,2.0,Green Moon,Control,12.5,14.0,12.5,8,,,,,,,,,,,,,,,,
2026-08-11,Control_GM,B8,2.0,Green Moon,Control,16.5,17.0,14.5,10,,,,,,,,,,,,,,,,
2026-08-11,Control_GM,C4,2.0,Green Moon,Control,11.5,16.0,14.5,8,,,,,,,,,,,,,,,,
2026-08-11,Control_GM,C6,2.0,Green Moon,Control,13.5,18.0,15.5,10,,,,,,,,,,,,,,,,
2026-08-11,Control_GM,C9,2.0,Green Moon,Control,17.5,19.0,15.0,9,,,,,,,,,,,,,,,,
2026-08-11,LED_F (1),A2,2.0,Fame,LED Plot 1,21.5,26.0,12.0,9,,,,,,,,,,,,,,,,
2026-08-11,LED_F (1),A5,2.0,Fame,LED Plot 1,19.0,25.5,16.5,9,,,,,,,,,,,,,,,,
2026-08-11,LED_F (1),A7,2.0,Fame,LED Plot 1,20.0,23.5,15.0,9,,,,,,,,,,,,,,,,
2026-08-11,LED_F (1),B3,2.0,Fame,LED Plot 1,18.0,29.0,12.0,11,,,,,,,,,,,,,,,,
2026-08-11,LED_F (1),B5,2.0,Fame,LED Plot 1,26.0,30.0,18.0,11,,,,,,,,,,,,,,,,
2026-08-11,LED_F (1),B6,2.0,Fame,LED Plot 1,17.0,23.5,14.0,10,,,,,,,,,,,,,,,,
2026-08-11,LED_F (1),B8,2.0,Fame,LED Plot 1,20.0,26.0,15.0,10,,,,,,,,,,,,,,,,
2026-08-11,LED_F (1),C4,2.0,Fame,LED Plot 1,22.0,28.5,15.5,10,,,,,,,,,,,,,,,,
2026-08-11,LED_F (1),C6,2.0,Fame,LED Plot 1,22.5,23.0,16.5,10,,,,,,,,,,,,,,,,
2026-08-11,LED_F (1),C9,2.0,Fame,LED Plot 1,19.5,29.0,15.5,9,,,,,,,,,,,,,,,,
2026-08-11,LED_F (2),A2,2.0,Fame,LED Plot 2,16.5,24.5,13.0,9,,,,,,,,,,,,,,,,
2026-08-11,LED_F (2),A5,2.0,Fame,LED Plot 2,23.0,25.0,14.0,9,,,,,,,,,,,,,,,,
2026-08-11,LED_F (2),A7,2.0,Fame,LED Plot 2,17.0,21.5,13.0,9,,,,,,,,,,,,,,,,
2026-08-11,LED_F (2),B3,2.0,Fame,LED Plot 2,16.0,29.0,16.0,10,,,,,,,,,,,,,,,,
